Brand,Type,Name,Selling_Price,Original_Price,Display,Rating,Strap_Material,avg_battery_life
Huawei,FitnessBand,Band 2 Pro Activity,2199,5999,PMOLED Display,4.1,Silicone,7
Honor,FitnessBand,Band 6,2999,5999,AMOLED Display,4.3,Plastic,14
Honor,FitnessBand,Band 4,2700,2999,AMOLED Display,4.4,Plastic,7
Honor,FitnessBand,Band 3,2499,2999,AMOLED Display,4.3,Plastic,7
Honor,FitnessBand,Band 5i,2469,2999,LCD Display,4.2,Plastic,7
Honor,FitnessBand,Band 3,2499,2999,PMOLED Display,4.3,Plastic,7
Honor,FitnessBand,Band 5,2899,2999,AMOLED Display,4.4,Plastic,14
Honor,FitnessBand,Band 5,2099,2999,AMOLED Display,4.4,Plastic,14
Honor,FitnessBand,Band 5,2199,2999,AMOLED Display,4.4,Plastic,14
Honor,FitnessBand,Band 4,2599,2999,AMOLED Display,4.4,Plastic,7
Honor,FitnessBand,Band 5i,1799,2999,LCD Display,4.2,Plastic,14
Honor,FitnessBand,band 4 running,1649,2000,AMOLED Display,3.2,Plastic,7
Honor,FitnessBand,Band Z1,5499,5499,AMOLED Display,3.9,Plastic,14
Honor,FitnessBand,Band 3,4750,5499,OLED Display,4.3,Plastic,7
GOQii,FitnessBand,Beat,2999,2999,OLED Display,2.8,Silicone,7
GOQii,FitnessBand,Vital 3.0,3999,3999,OLED Display,3.1,Silicone,7
Infinix,FitnessBand,Band 5,1499,2999,TFT-LCD Display,3.8,Silicone,4
LCARE,Smartwatch,Watch,2995,4495,OLED Display,3.5,Silicone,7
LCARE,FitnessBand,Mambo,1699,2995,OLED Display,3.8,Silicone,4
LAVA,FitnessBand,BeFit,1999,3499,LCD Display,3.6,Thermoplastic polyurethane,7
Noise,FitnessBand,ColorFit,2199,2499,LCD Display,3.6,Silicone,3
Noise,FitnessBand,ColorFit2,1699,2499,TFT-LCD Display,3.9,Thermoplastic polyurethane,7
Oppo,Smartwatch,46 mm,14990,19990,AMOLED Display,3.9,Rubber,14
Oppo,Smartwatch,41mm,17990,24990,AMOLED Display,3.9,Rubber,14
realme,Smartwatch,2 Pro,4999,5999,AMOLED Display,4.4,Silicone,14
realme,Smartwatch,2S,3499,3999,AMOLED Display,4.2,Silicone,7
realme,Smartwatch,S,4999,7999,AMOLED Display,4.3,Silicone,14
realme,Smartwatch,S,6779,7999,AMOLED Display,4.3,Silicone,14
realme,Smartwatch,S Pro,9999,12999,AMOLED Display,4.1,Silicone,14
realme,Smartwatch,S Master,5999,8999,AMOLED Display,4.3,Silicone,14
realme,Smartwatch,Fashion,5400,6999,TFT-LCD Display,4,Silicone,14
realme,Smartwatch,Classic,3921,6999,TFT-LCD Display,4,Silicone,7
Fastrack,Smartwatch,Reflex 3.0,2495,2995,TFT-LCD Display,3.8,Silicone,7
Fastrack,Smartwatch,Reflex 3.0,2200,2995,TFT-LCD Display,4.1,Silicone,4
Fastrack,Smartwatch,Reflex Beat,1645,2195,TFT-LCD Display,4,Silicone,4
Fastrack,FitnessBand,Reflex Smart Band,1595,1995,OLED Display,4,Silicone,4
Fastrack,FitnessBand,Reflex Smart Band,1195,1995,OLED Display,4.1,Silicone,4
Fastrack,Smartwatch,Reflex 2.0,1395,1995,TFT-LCD Display,4.1,Silicone,10
boAt ,Smartwatch,Storm,2999,5990,LCD Display,4.1,Thermoplastic polyurethane,7
boAt ,Smartwatch,Xplorer,3499,7990,LCD Display,3.8,Thermoplastic polyurethane,10
boAt ,Smartwatch,Delta,2499,5990,LCD Display,3.6,Silicone,7
boAt ,Smartwatch,O2,7990,7990,LCD Display,4.1,Thermoplastic polyurethane,10
Noise ,Smartwatch,ColorFit Qube SpO2,2499,4999,AMOLED Display,4.3,Thermoplastic polyurethane,7
Noise ,Smartwatch,ColorFit Pro 3,3999,5999,AMOLED Display,4.2,Thermoplastic polyurethane,7
Noise ,Smartwatch,ColorFit Qube SpO2,2499,4999,AMOLED Display,4.3,Thermoplastic polyurethane,7
Noise ,Smartwatch,ColorFit Brio,2999,5999,AMOLED Display,4.3,Thermoplastic polyurethane,10
Noise ,Smartwatch,ColorFit Pro 2,2699,4999,AMOLED Display,4.1,Silicone,10
Noise ,Smartwatch,Fit Active,3499,5999,AMOLED Display,4.2,Silicone,7
Noise ,Smartwatch,ColorFit Qube,2499,4999,AMOLED Display,4,Thermoplastic polyurethane,7
Noise ,Smartwatch,ColorFit Pro 2 Oxy,2499,4999,AMOLED Display,4,Thermoplastic polyurethane,7
